dani,levi,546465454,0548979467,-1000,15/08/2014
shlomi,margalit,204545466,0504879646,-250,12/7/2004
or,menashe,245646496,0543974963,-38,5/9/2022
mike,peter,206945040,0546601114,-450,12/12/2022
moty,katz,456143543,0548456975,-160,15/06/2018
Mike,peter,206945040,0546601114,-250,24/12/2021
s5hay,ar4es,240464807,0548460076,0,21/05/2021
or,menashe,245646496,0543974963,23,4/8/2019
mike,peter,206945040,054601114,50,3/7/1998
kobi,klain,208801456,0533214304,-301,4/1/1980
moty,katz,456143543,0548456975,80,15/06/2012
Mike,peter,206h45040,0546601114,-300,24/12/2021
mike,peter,206945040,0546601114,-20,10/8/2017
sara,citron,264517803,054645178,-30,12/4/2008
sara,citron,264517803,0546451781,0,12/4/2008
israel,weiss,305106403,0509676094,-150,24/08/2022
israel,weiss,305106403,0509676094,-150,24/08/2022
israel,weiss,305106403,0509676094,-150,24/08/2022
israel,weiss,305106403,0509676094,300,24/08/2022
israel,weiss,305106403,0509676094,-150,24/08/2022
israel,weiss,305106403,0509676094,-150,24/08/2022
israel,weiss,305106403,0509676094,-150,23/08/2022
talia,weiss,223374668,0582147369,582741952.000000,15/6/2023
mri el,gilo,147369852,0504587696,-300.000000,11/9/2022
talia,weiss,223374668,0504587696,-300.000000,15/6/2023
нннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннн,gilo,147369852,0504587696,-300.000000,11/9/2022
нннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннннн,gilo,147369852,0504587696,-300.000000,11/9/2022
